"","author","title"
"6400","Aulois-Griot M","Cutaneous Adverse Effects of Ketoprofen for Topical Use Clinical Patterns and Costs"
"6401","Aiello S","Effect of High Pressure Sulfidation on the Structure of Sulfide Sites of Hydrotreatment Catalysts"
"6402","Aulas A","How Cholesterol Constrains Glycolipid Conformation for Optimal Recognition of Alzheimer's beta Amyloid Peptide (A beta(1-40))"
"6403","Aoul YH","A fuzzy logic-based AQM for real-time traffic over internet"
"6404","Aiello A","Overview of the last progresses blanket modules for the European test projects"
"6405","Aiello G","Thermal-hydraulic analysis of the HCLL DEMO blanket"
"6406","Aiello R","Synthesis of borosilicalite-1 with more than four boron per unit cell from fluoride containing media"
"6407","Aul C","A multicenter phase 2 study of the famesyltransferase inhibitor tipifarnib in intermediate- to high-risk myelodysplastic syndrome"
"6408","Aiello V","Control of beta-cell differentiation by the pancreatic mesenchyme"
"6409","Aulois-Griot M","Orphan drugs in France (2001-2005): Access to information and characteristics"
"6410","Aoul YH","On exploiting bandwidth predictability to optimize IP/DTV resource allocation in DVB-S2 networks"
"6411","Aiello G","The HCLL Test Blanket Module system: Present reference design, system integration in ITER and R&D needs"
"6412","Aiello G","Thermo-hydraulical and thermo-mechanical analysis of the HCLL-TBM breeding unit"
"6413","Aiello S","Multifragmentation threshold in Nb-93 + Mg-nat collisions at 30 MeV/nucleon"
"6414","Aielli G","System test of the ATLAS muon spectrometer in the H8 beam at the CERN SPS"
"6415","Aila T","A meshless hierarchical representation for light transport"
"6416","Aielli G","The ATLAS Experiment at the CERN Large Hadron Collider"
"6417","Aiello A","Lead-lithium eutectic material database for nuclear fusion technology"
"6418","Aiello A","Discrete-event modelling of fire spreading"
"6419","Aiello G","Paleoenvironmental changes during sapropel 19 (i-cycle 90) deposition: Evidences from geochemical, mineralogical and micropaleontological proxies in the mid-Pleistocene Montalbano Jonico land section (southern Italy)"
"6420","Aoul YH","Applying a Self-Configuring Admission Control Algorithm in a New QoS Architecture for IEEE 802.16 Networks"
"6421","Aul C","RBC Transfusion Independence and Safety Profile of Lenalidomide 5 or 10 mg in Pts with Low- or Int-1-Risk MDS with Del5q: Results From a Randomized Phase III Trial (MDS-004)"
"6422","Aulas A","The Cell Polarity PTK7 Receptor Is Expressed in Myeloid Cells and Acts as a Modulator of the Chemotherapeutic Response in AML Patients."
"6423","Aulehla A","More Than Patterning-Hox Genes and the Control of Posterior Axial Elongation"
"6424","Aal AA","Sol-Gel and Thermally Evaporated Nanostructured Thin ZnO Films for Photocatalytic Degradation of Trichlorophenol"
"6425","Aiello G","A new cooling scheme for the HCLL TBM"
"6426","Aiello G","A methodology to assess the impact of the manufacturing margins of the HCLL-TBM first wall in the design criteria"
"6427","Aiello G","Ferritic-Martensitic steel Test Blanket Modules: Status and future needs for design criteria requirements and fabrication validation"
"6428","Aal AA","Electroless Ni-Cu-P plating onto open cell stainless steel foam"
"6429","Aielli G","Study of the ATLAS MDT spectrometer using high energy CERN combined test beam data"
"6430","Aiello-Crocifoglio V","Validation of the Mexican Spanish Version of the EORTC C30 and STO22 Questionnaires for the Evaluation of Health-Related Quality of Life in Patients with Gastric Cancer"
"6431","Aiello V","From Atomistic to Device Level Investigation of Hybrid Redox Molecular/Silicon Field-Effect Memory Devices"
"6432","Auliac JB","COST-EFFECTIVENESS OF ERLOTINIB IN FIRST-LINE TREATMENT OF ADVANCED NON-SMALL CELL LUNG CANCER (NSCLC) IN FIT ELDERLY PATIENTS: AN ECONOMICAL ANALYSIS OF A PROSPECTIVE PHASE 2 STUDY (GFPC 0504)"
"6433","Aellach B","Calcium-Deficient and Stoichiometric Hydroxyapatites Promoted by Cobalt for the Catalytic Removal of Oxygenated Volatile Organic Compounds"
"6434","Auliac JB","An open multicenter phase II trial of weekly docetaxel for advanced-stage non-small-cell lung cancer in elderly patients with significant comorbidity and/or poor performance status: The GFPC 02-02b study"
"6435","Auluck S","Band energy and thermoelectricity of filled skutterudites LaFe4Sb12 and CeFe4Sb12"
"6436","Auliac P","Target alignment on the LIL laser facility - art. no. 65840M"
"6437","Auliac C","Learning transcriptional regulatory networks with evolutionary algorithms enhanced with niching"
"6438","Auluck S","Electronic band structure of AgCd2GaS4: theory and experiment"
"6439","Auliac C","Evolutionary approaches for the reverse-engineering of gene regulatory networks: A study on a biologically realistic dataset"
"6440","Aillaud N","Comparison of Isotopic and Immunoenzymatic Methods for Folate and Vitamin B12 Determination"
"6441","Aulard-Jaccod J","A study on the abbreviated form of the Eysenck Personality Questionnaire Revised-Abbreviated (EPQR-A) in a student population"
"6442","Aillaud I","2-Chlorophenyl Zinc Bromide: A Convenient Nucleophile for the Mannich-Related Multicomponent Synthesis of Clopidogrel and Ticlopidine"
"6443","Ailhaud G","Activin A Plays a Critical Role in Proliferation and Differentiation of Human Adipose Progenitors"
"6444","Aillaud M","The use of the new ReFacto AF laboratory standard (RLS AF) allows reliable measurement of FVIII:C levels in ReFacto AF mock plasma samples by a one-stage clotting assay"
"6445","Aillaud I","Comparison of yttrium binaphthylamido alkyl and amide complexes for enantioselective intramolecular hydroamination"
"6446","Ailhaud G","A Western-like fat diet is sufficient to induce a gradual enhancement in fat mass over generations"
"6447","Ailhaud MC","Actions of the prototypical 5-HT1A receptor agonist 8-OH-DPAT at human alpha(2)-adrenoceptors: (+)8-OH-DPAT, but not (-)8-OH-DPAT is an alpha(2B) subtype preferential agonist"
"6448","Aillaud MF","Detection and characterisation of large SERPINC1 deletions in type I inherited antithrombin deficiency"
"6449","Ailhaud G","Fatty acid composition as an early determinant of childhood obesity"
"6450","Ailhaud MC","Differential profile of typical, atypical and third generation antipsychotics at human 5-HT7a receptors coupled to adenylyl cyclase: detection of agonist and inverse agonist properties"
"6451","Ailhaud G","Human adipose tissue-derived multipotent stem cells differentiate in vitro and in vivo into osteocyte-like cells"
"6452","Ailhaud G","In vivo evidence for a role of adipose tissue SR-BI in the nutritional and hormonal regulation of adiposity and cholesterol homeostasis"
"6453","Aillaud MF","Factor V Leiden homozygous genotype is associated with late pregnancy loss in the PROCARE-GEHT cohort"
"6454","Ailhaud G","Nucleofection is a valuable transfection method for transient and stable transgene expression in adipose tissue-derived stem cells"
"6455","Aillaud I","Asymmetric hydroamination of non-activated carbon-carbon multiple bonds"
"6456","Ailhaud G","Omega 6 fatty acids and excessive adipose tissue development"
"6457","Ailhaud G","Polyunsaturated fatty acids and adipose tissue: a puzzling relationship"
"6458","Aillaud I","Chiral Amido Alkyl Rare Earth Complexes: A New Family of Asymmetric Intramolecular Hydroamination Catalysts"
"6459","Aillaud MF","Relation between the antithrombin Cambridge II mutation, the risk of venous thrombosis, and the endogenous thrombin generation"
"6460","Aillaud C","A NOSF (Nano-Oligosaccharide Factor) lipido-colloid dressing inhibits MMPs in an in vitro dermal equivalent model"
"6461","Ailhaud MC","Agonist-directed trafficking of signalling at serotonin 5-HT2A, 5-HT2B and 5-HT2C-VSV receptors mediated Gq/11 activation and calcium mobilisation in CHO cells"
"6462","Ailhaud G","Stathmin-like 2, a developmentally-associated neuronal marker, is expressed and modulated during osteogenesis of human mesenchymal stem cells"
"6463","Ailhaud G","Oxytocin controls differentiation of human mesenchymal stem cells and reverses osteoporosis"
"6464","Ailhaud G","Central Control of Bone Remodeling: The Neurohypophysial Hormone Oxytocin Is Decreased In Severe Post-menopausal Osteoporosis."
"6465","Ailhaud G","Comparative transcriptomics of human multipotent stem cells during adipogenesis and osteoblastogenesis"
"6466","Ailhaud G","Omega 6/Omega 3, what relationship with child obesity?"
"6467","Ailhaud G","Characterization of human mesenchymal stem cell secretome at early steps of adipocyte and osteoblast differentiation"
"6468","Aillaud I","New axially chiral atropos and tropos secondary diamines as ligands for enantioselective intramolecular hydroamination"
"6469","Aillaud I","Convenient method for the rapid generation of highly active and enantioselective yttrium catalysts for asymmetric hydroamination"
"6470","Aillaud I","New chiral lanthanide amide ate complexes for the catalysed synthesis of scalemic nitrogen-containing heterocycles"
"6471","Ailhaud G","The influence of auranofin, a clinically established antiarthritic gold drug, on bone metabolism: Analysis of its effects on human multipotent adipose-derived stem cells, taken as a model"
"6472","Ailhaud G","Omega-6 Fatty Acids and Excessive Adipose Tissue Development"
"6473","Ailhaud G","PUFA and body fat: growing problem"
"6474","Ailhaud G","Human Multipotent Adipose-Derived Stem Cells Differentiate into Functional Brown Adipocytes"
"6475","Aillaud MF","The search for biological factors established risk of venous thromboembolic disease: state of knowledge and consequences for clinical biological practice"
"6476","Aillaud A","A versatile dual spot laser scanning confocal microscopy system for advanced fluorescence correlation spectroscopy analysis in living cell"
"6477","Ailhaud G","Contribution of Adipose Triglyceride Lipase and Hormone-sensitive Lipase to Lipolysis in hMADS Adipocytes"
"6478","Aillaud C","A NOSF (NANO-OLIGOSACCHARIDE FACTOR) LIPIDO-COLLOID DRESSING STIMULATES MMPs/TIMPs COMPLEXES FORMATION LEADING TO MMPs INHIBITION IN AN IN VITRO DERMAL EQUIVALENT MODEL"
"6479","Ailhaud G","Deficiency of Angiotensin Type 2 Receptor Rescues Obesity But Not Hypertension Induced by Overexpression of Angiotensinogen in Adipose Tissue"
"6480","Ailhaud MC","Activation of G proteins and extracellular signal-regulated kinase 1/2 phosphorylation via human dopamine D-4.4 receptors: differential pathway-dependent potencies of receptor agonists"
"6481","Ailhaud G","microRNA miR-27b impairs human adipocyte differentiation and targets PPAR gamma"
"6482","Auladell M","The Canary Eddy Corridor: A major pathway for long-lived eddies in the subtropical North Atlantic"
"6483","Aulagnier S","LEPTOSPIROSIS IN FREE-RANGING ENDANGERED EUROPEAN MINK (MUSTELA LUTREOLA) AND OTHER SMALL CARNIVORES (MUSTELIDAE, VIVERRIDAE) FROM SOUTHWESTERN FRANCE"
"6484","Aulagner G","Medical device evaluation: What are the needs?"
"6485","Aulagner G","How can we optimize medical orderings in intensive care unit (ICU)?"
"6486","Aulagnier S","Unexpected morphometric differentiation of the Algerian mouse, Mus spretus (Rodentia: Muridae) from Kabylie of Djurdjura (Algeria)"
"6487","Aulagner G","Evaluation of a pharmacist training program based on oral anticoagulant therapeutic education"
"6488","Aulagner G","Impact of an automated centralized dispensing system on nurses' work time"
"6489","Aulagnier S","Extralimital presence of small mammals in north-eastern Algerian Sahara"
"6490","Aulagnier C","A recent build-up of atmospheric CO2 over Europe. Part 1: observed signals and possible explanations"
"6491","Aulagnier C","Is the recent build-up of atmospheric CO2 over Europe reproduced by models. Part 2: an overview with the atmospheric mesoscale transport model CHIMERE"
"6492","Aulagnier S","Extirpation and reintroduction of the Corsican red deer Cervus elaphus corsicanus in Corsica"
"6493","Aulagner G","Comparison of nature and frequency of cancer medication errors detected in six teaching hospitals"
"6494","Aulagner G","Off label use of recombinant activated factor VII: a practice survey"
"6495","Aulagner G","Valvular heart disease associated with fenfluramine detected 7 years after discontinuation of treatment"
"6496","Aulagner G","Influence of underlying disease on busulfan disposition in pediatric bone marrow transplant recipients: A nonparametric population pharmacokinetic study"
"6497","Aulagnier M","French experiences with Health Impact Assessment of disasters"
"6498","Aulagnier S","Habitat utilization by sympatric European mink Mustela lutreola and polecats Mustela putorius in south-western France"
"6499","Aulagnier S","Diet of the wood mouse, Apodemus sylvaticus in three biotopes of Kabylie of Djurdjura (Algeria)"
